Unnamed: 0,play_name,genre,character,act,scene,sentence,text,sex
7169,The Comedy of Errors,Comedy,Adriana,5,1,63,As roughly as my modesty would let me.,female
7170,The Comedy of Errors,Comedy,Aemelia,5,1,64,"Haply, in private.",female
7171,The Comedy of Errors,Comedy,Adriana,5,1,65,And in assemblies too.,female
7172,The Comedy of Errors,Comedy,Aemelia,5,1,66,"Ay, but not enough.",female
7173,The Comedy of Errors,Comedy,Adriana,5,1,67,It was the copy of our conference:,female
7174,The Comedy of Errors,Comedy,Adriana,5,1,68,In bed he slept not for my urging it;,female
7175,The Comedy of Errors,Comedy,Adriana,5,1,69,At board he fed not for my urging it;,female
7176,The Comedy of Errors,Comedy,Adriana,5,1,70,"Alone, it was the subject of my theme;",female
7177,The Comedy of Errors,Comedy,Adriana,5,1,71,In company I often glanced it;,female
7178,The Comedy of Errors,Comedy,Adriana,5,1,72,Still did I tell him it was vile and bad.,female
7179,The Comedy of Errors,Comedy,Aemelia,5,1,73,And thereof came it that the man was mad.,female
7180,The Comedy of Errors,Comedy,Aemelia,5,1,74,The venom clamours of a jealous woman,female
7181,The Comedy of Errors,Comedy,Aemelia,5,1,75,Poisons more deadly than a mad dog's tooth.,female
7182,The Comedy of Errors,Comedy,Aemelia,5,1,76,"It seems his sleeps were hinder'd by thy railing,",female
7183,The Comedy of Errors,Comedy,Aemelia,5,1,77,And therefore comes it that his head is light.,female
7184,The Comedy of Errors,Comedy,Aemelia,5,1,78,Thou say'st his meat was sauced with thy upbraidings:,female
7185,The Comedy of Errors,Comedy,Aemelia,5,1,79,Unquiet meals make ill digestions;,female
7186,The Comedy of Errors,Comedy,Aemelia,5,1,80,Thereof the raging fire of fever bred;,female
7187,The Comedy of Errors,Comedy,Aemelia,5,1,81,And what's a fever but a fit of madness?,female
7188,The Comedy of Errors,Comedy,Aemelia,5,1,82,Thou say'st his sports were hinderd by thy brawls:,female
7189,The Comedy of Errors,Comedy,Aemelia,5,1,83,"Sweet recreation barr'd, what doth ensue",female
7190,The Comedy of Errors,Comedy,Aemelia,5,1,84,"But moody and dull melancholy,",female
7191,The Comedy of Errors,Comedy,Aemelia,5,1,85,"Kinsman to grim and comfortless despair,",female
7192,The Comedy of Errors,Comedy,Aemelia,5,1,86,And at her heels a huge infectious troop,female
7193,The Comedy of Errors,Comedy,Aemelia,5,1,87,Of pale distemperatures and foes to life?,female
7194,The Comedy of Errors,Comedy,Aemelia,5,1,88,"In food, in sport and life-preserving rest",female
7195,The Comedy of Errors,Comedy,Aemelia,5,1,89,"To be disturb'd, would mad or man or beast:",female
7196,The Comedy of Errors,Comedy,Aemelia,5,1,90,The consequence is then thy jealous fits,female
7197,The Comedy of Errors,Comedy,Aemelia,5,1,91,Have scared thy husband from the use of wits.,female
